fold name,target,avg_predict
/home/datnt114/thesis/aicity2023/code/tmp/8/Right_side_window_user_id_63764_NoAudio_5_175_192/img_000361.jpg,8,0
/home/datnt114/thesis/aicity2023/code/tmp/13/Right_side_window_user_id_63764_NoAudio_7_217_236/img_000481.jpg,13,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_42711_NoAudio_7_239_269/img_000301.jpg,0,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_85870_NoAudio_5_13_32/img_000181.jpg,0,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_13522_NoAudio_5_109_125/img_000061.jpg,0,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_63764_NoAudio_7_155_174/img_000121.jpg,0,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_85870_NoAudio_7_292_323/img_000601.jpg,0,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_60167_NoAudio_7_355_378/img_000121.jpg,0,0
/home/datnt114/thesis/aicity2023/code/tmp/2/Right_side_window_user_id_63764_NoAudio_5_459_479/img_000121.jpg,2,0
/home/datnt114/thesis/aicity2023/code/tmp/15/Right_side_window_user_id_63764_NoAudio_7_447_468/img_000241.jpg,15,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_85870_NoAudio_5_13_32/img_000481.jpg,0,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_13522_NoAudio_5_391_418/img_000301.jpg,0,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_42711_NoAudio_7_178_213/img_000361.jpg,0,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_13522_NoAudio_5_438_451/img_000241.jpg,0,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_85870_NoAudio_7_88_126/img_001021.jpg,0,0
/home/datnt114/thesis/aicity2023/code/tmp/0/Right_side_window_user_id_13522_NoAudio_5_182_198/img_000061.jpg,0,0
