,class_name,folder_name,frame_index,view,user_id
0,8,Dashboard_user_id_96269_NoAudio_7_388_407,301,Dashboard,user_id_96269
1,0,Right_side_window_user_id_86952_NoAudio_9_217_230,61,Right_side_window,user_id_86952
2,0,Right_side_window_user_id_83756_NoAudio_3_255_267,181,Right_side_window,user_id_83756
3,0,Right_side_window_user_id_71436_NoAudio_5_456_467,61,Right_side_window,user_id_71436
4,0,Dashboard_user_id_63513_NoAudio_5_139_168,661,Dashboard,user_id_63513
5,12,Dashboard_user_id_46856_NoAudio_7_296_313,181,Dashboard,user_id_46856
6,11,Dashboard_user_id_99882_NoAudio_7_199_217,301,Dashboard,user_id_99882
7,0,Dashboard_user_id_78052_NoAudio_9_265_280,61,Dashboard,user_id_78052
8,0,Rear_view_user_id_96269_NoAudio_5_360_364,1,Rear_view,user_id_96269
9,0,Right_side_window_user_id_60768_NoAudio_5_337_359,121,Right_side_window,user_id_60768
10,0,Rear_view_user_id_84935_NoAudio_5_314_328,301,Rear_view,user_id_84935
11,10,Dashboard_user_id_47457_NoAudio_5_9_29,1,Dashboard,user_id_47457
12,0,Right_side_window_user_id_78052_NoAudio_11_332_349,181,Right_side_window,user_id_78052
13,0,Rear_view_user_id_63513_NoAudio_5_120_136,61,Rear_view,user_id_63513
14,0,Right_side_window_user_id_28557_NoAudio_7_103_117,121,Right_side_window,user_id_28557
15,14,Right_side_window_user_id_30932_NoAudio_5_381_394,121,Right_side_window,user_id_30932
16,0,Dashboard_user_id_30932_NoAudio_5_296_322,541,Dashboard,user_id_30932
17,0,Right_side_window_user_id_46856_NoAudio_5_319_333,181,Right_side_window,user_id_46856
18,0,Dashboard_user_id_59581_NoAudio_5_194_217,601,Dashboard,user_id_59581
19,13,Right_side_window_user_id_61962_NoAudio_7_41_65,241,Right_side_window,user_id_61962
20,4,Dashboard_user_id_86356_NoAudio_7_225_250,481,Dashboard,user_id_86356
21,0,Right_side_window_user_id_47457_NoAudio_5_412_427,361,Right_side_window,user_id_47457
22,2,Right_side_window_user_id_71436_NoAudio_5_421_436,361,Right_side_window,user_id_71436
23,14,Rear_view_user_id_31903_NoAudio_5_108_128,181,Rear_view,user_id_31903
24,0,Right_side_window_user_id_84935_NoAudio_7_99_112,61,Right_side_window,user_id_84935
25,0,Right_side_window_user_id_39367_NoAudio_7_23_34,241,Right_side_window,user_id_39367
26,0,Dashboard_user_id_47457_NoAudio_7_280_298,301,Dashboard,user_id_47457
27,9,Dashboard_user_id_47457_NoAudio_5_488_491,1,Dashboard,user_id_47457
28,0,Dashboard_user_id_63513_NoAudio_5_87_109,301,Dashboard,user_id_63513
29,0,Dashboard_user_id_83756_NoAudio_7_310_325,301,Dashboard,user_id_83756
30,0,Right_side_window_user_id_61962_NoAudio_7_370_382,181,Right_side_window,user_id_61962
31,0,Dashboard_user_id_57207_NoAudio_3_468_479,61,Dashboard,user_id_57207
32,0,Right_side_window_user_id_47457_NoAudio_7_304_329,301,Right_side_window,user_id_47457
33,0,Dashboard_user_id_39367_NoAudio_5_120_135,181,Dashboard,user_id_39367
34,15,Rear_view_user_id_84935_NoAudio_7_76_98,1,Rear_view,user_id_84935
35,0,Dashboard_user_id_63513_NoAudio_5_247_262,61,Dashboard,user_id_63513
36,0,Rear_view_user_id_39367_NoAudio_5_460_481,1,Rear_view,user_id_39367
37,0,Rear_view_user_id_86356_NoAudio_5_484_509,421,Rear_view,user_id_86356
38,0,Rear_view_user_id_78052_NoAudio_11_138_156,421,Rear_view,user_id_78052
39,0,Dashboard_user_id_78052_NoAudio_11_37_49,61,Dashboard,user_id_78052
40,12,Dashboard_user_id_60768_NoAudio_7_144_168,361,Dashboard,user_id_60768
41,0,Rear_view_user_id_86356_NoAudio_5_484_509,481,Rear_view,user_id_86356
42,0,Rear_view_user_id_31903_NoAudio_7_33_45,241,Rear_view,user_id_31903
43,0,Right_side_window_user_id_86952_NoAudio_11_338_360,481,Right_side_window,user_id_86952
44,0,Right_side_window_user_id_63513_NoAudio_7_108_138,541,Right_side_window,user_id_63513
45,0,Right_side_window_user_id_86952_NoAudio_9_17_46,361,Right_side_window,user_id_86952
46,11,Right_side_window_user_id_71436_NoAudio_5_193_209,61,Right_side_window,user_id_71436
47,1,Rear_view_user_id_96269_NoAudio_7_223_292,1981,Rear_view,user_id_96269
48,9,Right_side_window_user_id_83323_NoAudio_3_146_157,241,Right_side_window,user_id_83323
49,12,Right_side_window_user_id_83756_NoAudio_7_444_470,61,Right_side_window,user_id_83756
50,5,Rear_view_user_id_83323_NoAudio_5_293_309,1,Rear_view,user_id_83323
51,12,Dashboard_user_id_78052_NoAudio_11_317_331,61,Dashboard,user_id_78052
52,6,Rear_view_user_id_83756_NoAudio_3_9_32,1,Rear_view,user_id_83756
53,0,Dashboard_user_id_78052_NoAudio_9_96_114,121,Dashboard,user_id_78052
54,2,Rear_view_user_id_86952_NoAudio_11_204_215,1,Rear_view,user_id_86952
55,0,Right_side_window_user_id_28557_NoAudio_5_377_389,1,Right_side_window,user_id_28557
56,12,Right_side_window_user_id_78052_NoAudio_11_317_331,61,Right_side_window,user_id_78052
57,11,Right_side_window_user_id_83756_NoAudio_7_502_511,61,Right_side_window,user_id_83756
58,0,Rear_view_user_id_30932_NoAudio_5_424_450,301,Rear_view,user_id_30932
59,0,Right_side_window_user_id_63513_NoAudio_5_366_379,241,Right_side_window,user_id_63513
60,0,Right_side_window_user_id_86356_NoAudio_5_52_82,241,Right_side_window,user_id_86356
61,0,Rear_view_user_id_39367_NoAudio_7_267_282,181,Rear_view,user_id_39367
62,0,Right_side_window_user_id_46856_NoAudio_5_83_114,361,Right_side_window,user_id_46856
63,0,Rear_view_user_id_63513_NoAudio_7_46_65,421,Rear_view,user_id_63513
64,11,Right_side_window_user_id_39367_NoAudio_5_193_211,241,Right_side_window,user_id_39367
65,0,Dashboard_user_id_46856_NoAudio_5_353_375,481,Dashboard,user_id_46856
66,0,Rear_view_user_id_39367_NoAudio_5_212_228,121,Rear_view,user_id_39367
67,0,Dashboard_user_id_84935_NoAudio_7_169_196,121,Dashboard,user_id_84935
68,0,Dashboard_user_id_60768_NoAudio_7_317_332,301,Dashboard,user_id_60768
69,5,Right_side_window_user_id_86952_NoAudio_9_252_273,181,Right_side_window,user_id_86952
70,0,Dashboard_user_id_46856_NoAudio_5_177_206,241,Dashboard,user_id_46856
71,0,Dashboard_user_id_86356_NoAudio_7_16_45,721,Dashboard,user_id_86356
72,0,Right_side_window_user_id_83323_NoAudio_5_324_345,421,Right_side_window,user_id_83323
73,0,Dashboard_user_id_86952_NoAudio_11_476_492,181,Dashboard,user_id_86952
74,0,Rear_view_user_id_63513_NoAudio_7_16_41,601,Rear_view,user_id_63513
75,12,Dashboard_user_id_30932_NoAudio_5_74_89,241,Dashboard,user_id_30932
76,4,Right_side_window_user_id_96269_NoAudio_5_330_359,721,Right_side_window,user_id_96269
77,0,Right_side_window_user_id_96269_NoAudio_5_206_234,541,Right_side_window,user_id_96269
78,5,Right_side_window_user_id_39367_NoAudio_7_251_266,121,Right_side_window,user_id_39367
79,5,Right_side_window_user_id_30932_NoAudio_5_451_459,61,Right_side_window,user_id_30932
80,7,Rear_view_user_id_71436_NoAudio_5_125_131,61,Rear_view,user_id_71436
81,0,Dashboard_user_id_96269_NoAudio_5_268_292,61,Dashboard,user_id_96269
82,2,Dashboard_user_id_61962_NoAudio_7_482_491,121,Dashboard,user_id_61962
83,0,Right_side_window_user_id_46856_NoAudio_5_30_40,61,Right_side_window,user_id_46856
84,0,Rear_view_user_id_99882_NoAudio_5_134_162,661,Rear_view,user_id_99882
85,0,Dashboard_user_id_61962_NoAudio_5_287_298,121,Dashboard,user_id_61962
86,0,Dashboard_user_id_30932_NoAudio_7_300_321,61,Dashboard,user_id_30932
87,0,Dashboard_user_id_84935_NoAudio_7_396_427,661,Dashboard,user_id_84935
88,4,Dashboard_user_id_61962_NoAudio_7_422_433,241,Dashboard,user_id_61962
89,0,Rear_view_user_id_30932_NoAudio_5_424_450,61,Rear_view,user_id_30932
90,0,Right_side_window_user_id_30932_NoAudio_5_163_199,481,Right_side_window,user_id_30932
91,1,Right_side_window_user_id_96269_NoAudio_7_223_292,421,Right_side_window,user_id_96269
92,0,Rear_view_user_id_57207_NoAudio_3_98_116,1,Rear_view,user_id_57207
93,10,Rear_view_user_id_63513_NoAudio_7_42_45,1,Rear_view,user_id_63513
94,0,Rear_view_user_id_46856_NoAudio_5_67_79,1,Rear_view,user_id_46856
95,0,Rear_view_user_id_83756_NoAudio_7_337_349,61,Rear_view,user_id_83756
96,0,Dashboard_user_id_60768_NoAudio_5_464_474,1,Dashboard,user_id_60768
97,0,Right_side_window_user_id_86356_NoAudio_7_278_299,181,Right_side_window,user_id_86356
98,3,Rear_view_user_id_60768_NoAudio_5_232_254,241,Rear_view,user_id_60768
99,0,Dashboard_user_id_63513_NoAudio_7_243_261,181,Dashboard,user_id_63513
100,0,Right_side_window_user_id_86952_NoAudio_11_164_180,121,Right_side_window,user_id_86952
101,0,Right_side_window_user_id_61962_NoAudio_7_383_402,301,Right_side_window,user_id_61962
102,0,Dashboard_user_id_86952_NoAudio_9_17_46,301,Dashboard,user_id_86952
103,0,Dashboard_user_id_78052_NoAudio_9_16_32,241,Dashboard,user_id_78052
104,0,Rear_view_user_id_60768_NoAudio_7_169_181,1,Rear_view,user_id_60768
105,9,Right_side_window_user_id_57207_NoAudio_1_130_140,121,Right_side_window,user_id_57207
106,15,Right_side_window_user_id_86952_NoAudio_11_142_163,121,Right_side_window,user_id_86952
107,10,Dashboard_user_id_83323_NoAudio_5_7_19,121,Dashboard,user_id_83323
108,6,Right_side_window_user_id_60768_NoAudio_7_475_500,61,Right_side_window,user_id_60768
109,0,Rear_view_user_id_60768_NoAudio_7_217_230,61,Rear_view,user_id_60768
110,0,Right_side_window_user_id_86356_NoAudio_7_420_437,301,Right_side_window,user_id_86356
111,11,Dashboard_user_id_71436_NoAudio_7_193_209,1,Dashboard,user_id_71436
112,0,Dashboard_user_id_30932_NoAudio_5_248_265,361,Dashboard,user_id_30932
113,0,Right_side_window_user_id_39367_NoAudio_5_328_347,61,Right_side_window,user_id_39367
114,5,Dashboard_user_id_60768_NoAudio_5_7_32,301,Dashboard,user_id_60768
115,8,Dashboard_user_id_39367_NoAudio_7_66_90,121,Dashboard,user_id_39367
116,5,Dashboard_user_id_71436_NoAudio_7_320_341,361,Dashboard,user_id_71436
117,5,Right_side_window_user_id_99882_NoAudio_5_485_500,61,Right_side_window,user_id_99882
118,6,Rear_view_user_id_71436_NoAudio_7_357_369,121,Rear_view,user_id_71436
119,11,Dashboard_user_id_47457_NoAudio_5_66_88,61,Dashboard,user_id_47457
120,6,Rear_view_user_id_39367_NoAudio_7_283_302,1,Rear_view,user_id_39367
121,3,Right_side_window_user_id_78052_NoAudio_11_286_300,1,Right_side_window,user_id_78052
122,0,Right_side_window_user_id_31903_NoAudio_5_264_276,61,Right_side_window,user_id_31903
123,0,Rear_view_user_id_84935_NoAudio_5_343_359,181,Rear_view,user_id_84935
124,0,Rear_view_user_id_78052_NoAudio_9_96_114,121,Rear_view,user_id_78052
125,0,Dashboard_user_id_60768_NoAudio_5_130_143,181,Dashboard,user_id_60768
126,0,Right_side_window_user_id_28557_NoAudio_5_49_65,181,Right_side_window,user_id_28557
127,0,Dashboard_user_id_86356_NoAudio_5_52_82,661,Dashboard,user_id_86356
128,14,Rear_view_user_id_61962_NoAudio_7_8_30,301,Rear_view,user_id_61962
129,0,Right_side_window_user_id_60768_NoAudio_5_317_332,241,Right_side_window,user_id_60768
130,0,Right_side_window_user_id_60768_NoAudio_5_217_231,301,Right_side_window,user_id_60768
131,0,Dashboard_user_id_99882_NoAudio_5_333_352,481,Dashboard,user_id_99882
132,0,Rear_view_user_id_63513_NoAudio_5_87_109,481,Rear_view,user_id_63513
133,6,Dashboard_user_id_47457_NoAudio_5_237_254,421,Dashboard,user_id_47457
134,15,Right_side_window_user_id_39367_NoAudio_7_8_22,121,Right_side_window,user_id_39367
135,2,Rear_view_user_id_71436_NoAudio_5_421_436,301,Rear_view,user_id_71436
136,0,Rear_view_user_id_78052_NoAudio_11_160_190,721,Rear_view,user_id_78052
137,0,Right_side_window_user_id_71436_NoAudio_7_169_192,1,Right_side_window,user_id_71436
138,0,Rear_view_user_id_99882_NoAudio_5_119_129,1,Rear_view,user_id_99882
139,5,Right_side_window_user_id_71436_NoAudio_7_320_341,121,Right_side_window,user_id_71436
140,0,Rear_view_user_id_47457_NoAudio_7_304_329,421,Rear_view,user_id_47457
141,8,Right_side_window_user_id_61962_NoAudio_7_80_103,541,Right_side_window,user_id_61962
142,13,Rear_view_user_id_47457_NoAudio_5_296_359,241,Rear_view,user_id_47457
143,0,Rear_view_user_id_59581_NoAudio_5_431_457,1,Rear_view,user_id_59581
144,12,Rear_view_user_id_31903_NoAudio_7_242_260,301,Rear_view,user_id_31903
145,8,Dashboard_user_id_83756_NoAudio_3_170_189,121,Dashboard,user_id_83756
146,0,Right_side_window_user_id_39367_NoAudio_5_169_192,541,Right_side_window,user_id_39367
147,0,Dashboard_user_id_84935_NoAudio_5_98_111,301,Dashboard,user_id_84935
148,0,Dashboard_user_id_83323_NoAudio_5_346_358,181,Dashboard,user_id_83323
149,0,Right_side_window_user_id_57207_NoAudio_1_29_41,181,Right_side_window,user_id_57207
150,0,Right_side_window_user_id_28557_NoAudio_5_85_97,61,Right_side_window,user_id_28557
151,1,Right_side_window_user_id_31903_NoAudio_5_81_97,241,Right_side_window,user_id_31903
152,9,Rear_view_user_id_86356_NoAudio_5_452_459,61,Rear_view,user_id_86356
153,3,Rear_view_user_id_47457_NoAudio_7_202_220,301,Rear_view,user_id_47457
154,14,Rear_view_user_id_57207_NoAudio_1_444_466,241,Rear_view,user_id_57207
155,0,Right_side_window_user_id_84935_NoAudio_5_8_28,301,Right_side_window,user_id_84935
156,12,Rear_view_user_id_71436_NoAudio_7_150_168,301,Rear_view,user_id_71436
157,2,Dashboard_user_id_96269_NoAudio_5_84_100,241,Dashboard,user_id_96269
158,0,Right_side_window_user_id_86356_NoAudio_5_315_332,181,Right_side_window,user_id_86356
159,0,Right_side_window_user_id_86356_NoAudio_7_129_152,1,Right_side_window,user_id_86356
160,0,Rear_view_user_id_59581_NoAudio_5_124_138,301,Rear_view,user_id_59581
161,3,Right_side_window_user_id_96269_NoAudio_5_436_460,421,Right_side_window,user_id_96269
162,0,Rear_view_user_id_71436_NoAudio_7_210_225,301,Rear_view,user_id_71436
163,0,Dashboard_user_id_60768_NoAudio_5_501_512,241,Dashboard,user_id_60768
164,0,Right_side_window_user_id_84935_NoAudio_5_8_28,241,Right_side_window,user_id_84935
165,0,Dashboard_user_id_83323_NoAudio_3_472_485,301,Dashboard,user_id_83323
166,8,Rear_view_user_id_83756_NoAudio_3_170_189,481,Rear_view,user_id_83756
167,13,Dashboard_user_id_39367_NoAudio_7_35_51,61,Dashboard,user_id_39367
168,0,Dashboard_user_id_71436_NoAudio_5_210_225,121,Dashboard,user_id_71436
169,0,Right_side_window_user_id_86356_NoAudio_5_279_298,61,Right_side_window,user_id_86356
170,0,Right_side_window_user_id_61962_NoAudio_7_192_211,361,Right_side_window,user_id_61962
171,0,Rear_view_user_id_86952_NoAudio_11_429_455,121,Rear_view,user_id_86952
172,5,Right_side_window_user_id_60768_NoAudio_5_7_32,61,Right_side_window,user_id_60768
173,14,Rear_view_user_id_46856_NoAudio_7_403_420,361,Rear_view,user_id_46856
174,14,Rear_view_user_id_39367_NoAudio_7_348_365,1,Rear_view,user_id_39367
175,0,Right_side_window_user_id_63513_NoAudio_7_194_234,601,Right_side_window,user_id_63513
176,0,Dashboard_user_id_63513_NoAudio_5_308_352,781,Dashboard,user_id_63513
177,0,Rear_view_user_id_83323_NoAudio_3_158_169,241,Rear_view,user_id_83323
178,0,Rear_view_user_id_78052_NoAudio_9_466_478,1,Rear_view,user_id_78052
179,0,Right_side_window_user_id_39367_NoAudio_7_143_159,361,Right_side_window,user_id_39367
180,0,Dashboard_user_id_84935_NoAudio_5_432_453,61,Dashboard,user_id_84935
181,0,Dashboard_user_id_96269_NoAudio_5_268_292,301,Dashboard,user_id_96269
182,0,Right_side_window_user_id_83756_NoAudio_7_273_301,121,Right_side_window,user_id_83756
